bookname,rating_nums,imgurl,info,author,translater,publisher,price,_openid,total
红楼梦,9.6,https://img1.doubanio.com/view/subject/s/public/s1070959.jpg,[清] 曹雪芹 著 / 人民文学出版社 / 1996-12 / 59.70元,[清] 曹雪芹 著 ,none, 人民文学出版社 , 59.70元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
活着,9.4,https://img3.doubanio.com/view/subject/s/public/s29053580.jpg,余华 / 作家出版社 / 2012-8-1 / 20.00元,余华 ,none, 作家出版社 , 20.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
1984,9.3,https://img1.doubanio.com/view/subject/s/public/s4371408.jpg,[英] 乔治·奥威尔 / 刘绍铭 / 北京十月文艺出版社 / 2010-4-1 / 28.00,[英] 乔治·奥威尔 , 刘绍铭 , 北京十月文艺出版社 ,28,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
百年孤独,9.2,https://img9.doubanio.com/view/subject/s/public/s6384944.jpg,[哥伦比亚] 加西亚·马尔克斯 / 范晔 / 南海出版公司 / 2011-6 / 39.50元,[哥伦比亚] 加西亚·马尔克斯 , 范晔 , 南海出版公司 , 39.50元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
飘,9.3,https://img1.doubanio.com/view/subject/s/public/s1078958.jpg,[美国] 玛格丽特·米切尔 / 李美华 / 译林出版社 / 2000-9 / 40.00元,[美国] 玛格丽特·米切尔 , 李美华 , 译林出版社 , 40.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
三体全集,9.4,https://img9.doubanio.com/view/subject/s/public/s28357056.jpg,刘慈欣 / 重庆出版社 / 2012-1-1 / 168.00元,刘慈欣 ,none, 重庆出版社 , 168.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
三国演义（全二册）,9.3,https://img3.doubanio.com/view/subject/s/public/s1076932.jpg,[明] 罗贯中 / 人民文学出版社 / 1998-05 / 39.50元,[明] 罗贯中 ,none, 人民文学出版社 , 39.50元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
白夜行,9.1,https://img1.doubanio.com/view/subject/s/public/s24514468.jpg,[日] 东野圭吾 / 刘姿君 / 南海出版公司 / 2013-1-1 / 39.50元,[日] 东野圭吾 , 刘姿君 , 南海出版公司 , 39.50元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
福尔摩斯探案全集（上中下）,9.2,https://img3.doubanio.com/view/subject/s/public/s1229240.jpg,[英] 阿·柯南道尔 / 丁钟华 等 / 群众出版社 / 1981-8 / 53.00元/68.00元,[英] 阿·柯南道尔 ,none, 1981-8 ,68.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
房思琪的初恋乐园,9.2,https://img3.doubanio.com/view/subject/s/public/s29651121.jpg,林奕含 / 北京联合出版公司 / 2018-1 / 45.00元,林奕含 ,none, 北京联合出版公司 , 45.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
